ID,Received.DBT.Intervention.,Teacher.Same.Ethnicity.,Teacher.Same.Gender.,Behavioral.Regulation.Slope...Teacher.Report,Meta.Cognitive.Slope...Teacher.Report,All.Executive.Functions.Slope...Teacher.Report,Behavioral.Regulation.Slope...Student.Self.Report,Meta.Cognitive.Slope...Student.Self.Report,All.Executive.Functions.Slope...Student.Self.Report,Mindfulness.Slop,Emotional.Regulation.Slope,Discipline.Incidents.Slope,Self.Reflection.Slope,In.School.Suspension.Slope,Out.of.School.Suspension.Slope,ELA.Grade,Math.Grade,Female.,Free.Reduced.School.Lunch.Group,Economic.Distress.,Mother.at.Home.,Father.at.Home.,Adult.Brother.at.Home.,Adult.Sister.at.Home.,Grandparent.at.Home.,Other.Adult.at.Home.,Total.Number.of.Adults.st.Home,Special.Education.Status,Intellectual.Impairment.,Social.Emotional.Impairment,High.Risk.Category,Years.at.This.School,Number.of.School.Absences,Year.2.Incidents,Ethnicity.Asian,Ethnicity.American_Indian,Ethnicity.Black,Ethnicity.Multiracial,Ethnicity.White
12,0,0,1,2.84298984205335E-17,0.033807773274264,0.020780625350045,0.101378390395731,0.082256433307113,0.047818451978927,0.066481994459834,0.020833333333333,0.5,1.5,1.5,-1.5,1.95,2.5,0,-1,1,0,0,0,0,0,0,0,1,0,1,0,5,2,0,0,0,0,0,0
13,0,0,1,NA,0.037427090084252,0.016195183510359,-0.007113821138211,0.073830409356725,0.024846809146615,0.333333333333332,0.083333333333333,-0.114649681528662,-0.048387096774194,1.5,-1.5,2,2.42,0,-1,1,1,1,0,0,0,1,3,1,0,1,0,7,2,33,0,0,0,0,0
14,NA,0,0,0.110939567710631,0.057692307692307,0.04989604989605,0.071216617210682,-5.39579347424809E-17,0.003722084367246,0.03448275862069,0.016949152542373,-0.999999999999999,-0.642857142857143,1.5,-1.5,2.58,3.67,0,1,0,1,1,1,0,0,0,3,0,0,0,0,3,1,6,1,0,0,0,0
15,0,0,1,0.063953488372093,-0.006705954074375,0.005449591280654,0.125585754451734,0.099778270509978,-0.082340932289895,0.125,-1.00000000000001,0.333333333333333,0.999999999999999,1.5,0.5,3.58,2.92,1,-1,1,1,1,1,0,0,1,4,0,0,0,0,7,37,29,0,0,0,0,0
16,0,0,1,0.053212851405622,0.054339428277105,0.034709535988308,-0.018190405094532,0.174971861250384,0.082568807339449,0.061855670103093,0.041666666666667,1,0.375,0.5,-0.5,2.25,1.95,NA,-1,1,1,1,1,1,0,0,4,1,1,0,0,7,14,29,0,0,0,0,0
17,0,0,0,0.071428571428571,-0.013157894736842,-0.03125,-0.015384615384615,-0.141891891891891,0.041192411924119,0.074074074074074,0.021276595744681,-0.5,-0.333333333333333,-1.5,-1,2.69,3.25,0,1,0,1,1,1,1,0,0,4,0,0,0,0,4,15,13,0,0,0,0,0
18,1,0,1,-0.070190641247834,0.083333333333333,-0.01634450697333,-0.118218623481781,0.004587155963303,-0.064766839378238,0.142857142857143,0.05,-0.209302325581395,-0.157894736842105,-0.5,-1.5,1.93,1.93,0,0,1,1,0,0,0,0,0,1,1,0,0,0,4,9,3,0,0,0,0,0
19,0,0,1,-0.076810451627436,-0.046524064171123,-0.029599034201286,-0.009870230736869,-0.001961788715355,0.022113022113022,0.070143884892086,0.033175355450237,-0.357142857142856,-1.5,1,2.03960993326578E-16,3.13,2,1,-1,1,1,0,NA,1,0,0,3,1,1,0,0,6,9,7,0,0,0,0,0
20,0,0,1,0.04199066874028,0.027522935779817,0.01999703747593,0.06496062992126,NA,-0.171052631578947,-0.066666666666667,0.061046511627907,-0.333333333333333,-0.214285714285714,-0.5,-1,3,1.93,1,1,0,1,1,0,0,0,0,2,0,0,0,NA,4,4,9,0,0,0,0,0
21,0,0,1,-0.125,-0.026118225979434,0.028668310727497,-0.130841121495327,-0.00944032366824,-0.030973451327434,0.214285714285714,0.021177894312223,-0.099585062240664,-0.058139534883721,-0.75,-0.749999999999999,2.69,2.67,1,0,1,1,0,0,0,0,1,2,0,0,0,0,4,4,14,0,0,0,0,0
22,1,0,1,0.087155963302752,0.044078361531612,0.029400678477196,0.029969522519472,0.03356890459364,0.015915119363395,-4.55512885096024E-15,-0.10655737704918,-7.76994260291725E-17,-1.81298660734736E-16,-1.5,-1.5,1.87,1.51,1,-1,1,1,0,1,0,1,1,4,1,0,0,0,3,15,17,0,0,0,0,0
23,0,NA,1,-0.128458498023715,0.229681978798587,0.290178571428571,-0.000983303901108,-0.057603686635945,-0.065915170042033,0.057692307692308,0.032818532818533,-0.113065326633166,0.75,-1.5,-1.5,1.92,2,1,-1,1,0,0,0,0,0,0,0,NA,0,0,0,5,9,0,0,0,0,0,0
24,0,0,0,0.026639344262295,0.017402376910017,0.010527969830295,-0.122448979591836,-0.071428571428573,-0.098455598455598,0.1,0.024390243902439,-0.5,-0.749999999999999,NA,-1,3.29,3.83,0,1,0,1,1,NA,0,0,0,3,0,0,0,0,3,1,2,0,1,0,0,0
25,0,0,1,-0.069948186528498,0.054339428277105,-0.024520255863539,-0.3,-0.136363636363636,0.032085561497326,0.333333333333332,0.999999999999982,0.461538461538461,0.346153846153846,-1.5,-0.5,2.08,2.42,1,1,0,1,1,0,0,0,0,2,1,1,0,0,7,4,52,0,0,0,0,0
26,0,NA,0,0.084847446006171,-0.059264897781644,0.078947368421053,0.045812455261274,0.070603337612324,-5.68824548055237E-15,-0.25,0.111111111111111,0.5,NA,-1.5,-1.5,1.93,1.83,0,-1,1,1,0,0,1,0,0,2,1,1,0,0,3,29,0,0,0,0,0,0
27,0,0,0,-0.003256318809118,0.006110837957435,0.001677511183408,0.105324074074074,0.39130434782608,0.099819701688248,0.033159947984395,0.033175355450237,-1.5,0.428571428571428,1.5,-0.749999999999999,3.75,4.4,0,1,0,1,1,0,0,0,0,2,0,0,0,0,7,7,29,1,0,0,0,0
28,0,0,1,0.214285714285714,0.125,0.078947368421053,0.13013698630137,0.135388739946381,0.074317968015052,0.076923076923077,0.031854648419066,-0.2,0.999999999999999,1.5,1.5,3,1.38,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0
29,0,0,0,-0.3,-0.087591240875912,-0.112676056338028,0.078782452999105,0.277777777777778,0.061974200785194,0.065099457504521,0.049075391180654,-0.375,-0.5,-0.162162162162162,-1.5,1.79,1.87,0,1,0,1,1,0,1,0,0,3,1,0,0,0,4,4,0,0,0,0,0,0
30,0,0,0,0.157894736842105,0.214285714285714,0.214285714285714,0.049180327868852,0.139240506329114,0.040322580645161,0.0625,-0.2,1,1.5,-5.43895982204207E-16,2.03960993326578E-16,NA,1.97,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0
31,0,0,0,0.060629465147712,-0.23076923076923,-0.055555555555556,0.096555618294749,0.087461300309598,-0.044081156035615,-0.2,-0.999999999999992,0.2,0.157894736842105,-5.43895982204207E-16,1,3.17,2.83,NA,1,0,1,1,1,1,0,1,5,0,0,0,0,7,31,33,0,0,0,0,0
32,0,0,1,0.097560975609756,0.021335440537337,0.021458446990362,0.087213692423861,0.077137546468402,0.045102987869413,0.055166374781086,0.03921568627451,-1.5,-1,-1.5,-0.749999999999999,4.09,2.5,1,-1,1,1,0,1,1,1,1,5,0,0,0,0,7,8,46,0,0,0,0,0
33,0,0,0,0.084847446006171,0.049357674104124,0.031415089500949,0.058248527048741,0.001705694905393,0.02781875658588,0.041666666666667,0.017857142857143,0.173076923076923,-0.2,-1.5,1,NA,3.5,0,-1,1,1,1,0,0,0,0,2,0,0,0,0,7,9,33,0,0,1,0,0
34,0,0,1,NA,-0.013157894736842,0.011994355597366,0.045186640471513,0.103342128408091,0.023440033353407,0.038461538461539,0.043478260869565,-1,-5.43895982204207E-16,0.25,-1.5,3.14,1.43,1,-1,1,1,1,1,1,0,0,4,1,0,0,0,5,10,22,0,0,0,0,0
35,0,0,1,0.112400290065265,0.061131133906294,0.04989604989605,-0.054054054054054,-0.096330275229358,0.122950819672131,0.105263157894737,0.025316455696203,0.166666666666667,0.2,0.142857142857143,-1.5,2.08,2.31,0,-1,1,1,0,1,0,1,1,3,1,1,0,0,6,5,22,0,0,0,0,0
36,0,0,1,0.123390894819466,0.08974358974359,0.052184536622258,-0.118779513258264,0.004141358365544,-0.018715735080976,0.076923076923077,0.04140127388535,-5.43895982204207E-16,-0.214285714285714,0.75,1.5,2.81,1.89,1,-1,1,NA,1,1,0,0,1,4,0,0,0,0,7,13,33,0,0,0,0,0
37,0,0,1,-0.077578051087985,0.084382871536524,-0.132152588555858,0.035151515151515,0.067131095630146,0.024658447184272,0.333333333333332,0.26923076923077,-1.35973995551052E-16,-5.43895982204207E-16,-1,-1.5,4.01,3.42,1,-1,1,1,0,NA,1,0,0,2,0,0,0,0,4,3,22,0,0,0,0,0
38,0,0,1,0.111026325829836,0.070803500397772,0.046602936155685,-0.08185053380783,-0.036697247706422,-0.025341451374033,0.1,0.026315789473684,0.230769230769231,1,1.5,0.5,4.01,2.29,0,-1,1,1,1,0,1,0,NA,3,0,1,0,0,7,10,33,0,0,0,0,1
39,0,0,NA,0.086206896551724,0.024671431865345,0.021401985111663,NA,NA,0.047565118912797,0.068034557235421,0.055228276877761,-0.139072847682119,-0.214285714285714,-0.5,0.75,NA,1.42,1,0,1,1,1,1,1,0,0,4,0,0,0,0,6,5,29,0,0,0,0,0
40,0,0,1,1.48952049194836E-15,7.44760245974182E-16,4.96506830649455E-16,0.048786589942457,0.055610479485912,NA,0.114649681528662,-0.25,-1.5,0.428571428571428,1,1.5,3.25,1.96,1,0,1,1,1,1,1,0,0,4,0,0,0,0,6,25,19,0,0,0,0,0
41,0,0,NA,0.042462146148782,0.028822055137845,0.017384105960265,-0.03870343492985,0.029717885510819,0.016175539770729,-0.333333333333334,0.04734219269103,-0.1,0.333333333333333,-1.5,-1.5,2.53,2.36,1,-1,1,1,0,0,0,0,0,1,1,NA,NA,0,6,25,17,0,0,0,0,0
42,0,0,0,-0.095171773444754,-0.045551982851018,-0.031089560752995,0.190355329949238,0.150384705059454,0.1151339608979,0.037037037037037,0.043478260869565,0.142857142857143,0.107142857142857,-0.749999999999999,0.5,1.81,2.08,1,0,1,1,1,1,1,0,0,4,0,0,0,0,7,10,37,0,0,1,0,0
43,0,0,1,0.110939567710631,0.058537714021286,0.038695038940332,0.090825688073394,0.052183486238532,0.03548424874107,0.095238095238095,0.0375,-1.5,-1.5,1.5,-1,3.43,3.08,0,-1,1,1,0,0,0,0,0,1,1,1,0,0,7,16,15,0,0,1,0,0
44,0,0,0,-0.06,0.025179856115108,0.039473684210526,0.038391224862888,-0.033333333333333,-0.23076923076923,0.052631578947368,0.047619047619048,-0.75,-3.3993498887763E-16,-1,-1,2.44,2.5,0,-1,1,1,1,1,1,0,1,5,1,1,0,0,5,13,15,0,0,1,0,0
45,1,0,1,0.375,0.171717171717172,0.134854771784232,-0.058062259531305,-0.126865671641791,-0.044081156035615,0.052631578947368,0.055555555555556,0.142857142857143,-0.5,1.5,-1.5,4.04,4,1,-1,1,1,1,0,0,1,1,2,1,0,1,NA,5,3,0,0,1,0,0,0
46,0,0,1,-0.002333177788147,0.000661638216223,6.5901896570263E-18,0.148042024832856,0.06662976544662,0.048797156916348,-0.333333333333334,0.03486441615938,0.2,-5.43895982204207E-16,1,-1,1.93,2,1,-1,1,1,1,1,1,0,1,4,0,0,0,0,NA,17,0,0,0,0,0,0
47,0,0,1,-0.007177033492823,0.032294404806609,0.009212000497946,0.066840926064227,0.048327916972429,0.028153037021759,-0.166666666666667,0.044088830829523,-0.375,-3.3993498887763E-16,-0.749999999999999,1,1.91,1.98,0,-1,1,1,1,1,0,0,0,3,0,0,0,0,6,9,15,0,0,1,0,0
48,0,0,0,0.052494952408422,0.03577064702788,0.021323563947208,-0.249999999999999,-1.18977246107171E-15,-0.32142857142857,-4.55512885096024E-15,0.0249653259362,-9.51817968857363E-16,-0.09375,2.03960993326578E-16,1.5,3,1.87,0,NA,1,1,1,NA,0,0,0,3,0,0,0,0,4,11,14,0,0,0,0,NA
49,0,0,0,-0.374999999999999,0.333333333333333,0.041095890410957,-0.032374100719425,0.096330275229357,0.285714285714288,0.072164948453608,0.028581510232886,-0.999999999999999,-1.5,-1.5,1.5,1.6,1.38,0,0,1,1,1,1,1,0,NA,4,0,0,0,0,5,14,0,0,0,0,0,0
50,0,0,1,-0.043685173886516,-4.5324665183684E-17,-0.014459362834671,0.048786589942457,-0.057427622211675,0.045771631379268,0.166666666666666,0.047619047619048,1,1.5,-1.5,-1.5,2,2.92,1,-1,1,1,0,1,1,1,0,4,1,1,0,0,6,3,52,0,0,0,0,0
51,0,0,1,-0.499999999999999,-1,NA,0.092105263157895,0.068238213399504,0.039620367580597,0.111111111111111,-0.333333333333335,-0.156716417910448,-1,1.5,1.5,3.79,4.18,1,-1,1,1,1,1,1,1,0,5,0,0,0,0,4,11,46,1,0,0,0,0
52,0,0,1,0.204200700116686,0.071433722775133,0.05400451212634,0.044402620939635,NA,0.018433179723502,-0.333333333333334,0.027112232030265,0.2,0.125,-5.43895982204207E-16,-5.43895982204207E-16,3.56,2.85,1,-1,1,1,1,1,0,0,0,2,0,0,0,NA,7,20,0,0,0,0,0,0
53,0,1,0,0.102760736196319,0.065403422982885,0.04016620498615,0.066601371204701,0.044325629527423,0.026921496095356,0.05,0.029411764705882,-0.064681724845996,0.214285714285713,-1,-1,1.57,2.67,0,1,1,1,1,0,1,1,0,4,1,0,1,0,7,4,33,0,0,0,0,1
54,0,0,1,0.01976528721433,0.026754948989933,0.013546255506608,-0.026315789473684,0.030942741469057,NA,0.1,NA,-1,1,1.5,-0.5,2.42,1.93,0,-1,1,1,1,0,1,0,0,3,1,0,1,0,7,7,29,0,0,1,0,0
55,0,1,1,0.454545454545454,0.171717171717172,0.144736842105263,0.106870229007634,0.073333333333333,0.043742405832321,0.090909090909091,0.03448275862069,0.222222222222222,NA,1,-1.5,3.58,2.85,1,1,0,NA,1,0,0,0,NA,2,1,0,1,0,7,8,52,0,0,0,0,1
56,0,0,1,0.067424857839155,0.04337613529596,0.02644144681867,0.030837004405286,0.032258064516129,0.01948051948052,0.037037037037037,0.017543859649123,-9.51817968857363E-16,2.03960993326578E-16,-2.71947991102104E-16,-0.5,3.64,4.18,0,-1,1,1,1,1,1,0,0,4,0,0,1,3,7,7,44,0,NA,0,0,0
57,0,1,0,0.121311475409836,0.052393491324016,0.03766208738265,0.066607460035524,0.061669829222012,0.032029810751968,0.076923076923077,NA,1.5,NA,-1.5,1.5,1.94,2.5,1,-1,1,1,1,1,0,0,0,3,1,1,0,0,7,12,46,0,0,0,0,1
58,0,0,1,0.061446977205154,0.04136690647482,0.024723069513566,-0.255813953488372,-0.074859075535513,-0.090536446266263,0.076923076923077,0.074074074074074,-0.0625,-0.357142857142857,1.5,-0.5,1.97,1.51,0,-1,1,1,1,1,1,1,1,5,1,1,0,1,7,8,22,0,0,0,0,0
59,0,1,1,-0.120347394540943,-0.019887693027609,0.023476271136073,0.073253833049404,0.043577981651376,-0.022068368671571,0.06140350877193,0.03415061295972,-5.43895982204207E-16,0.5,1.5,-1.5,2.69,2.5,0,-1,1,1,0,0,0,0,0,NA,1,0,1,1,6,20,33,0,0,0,0,1
60,0,0,1,-0.014634146341464,-0.008455897086523,-0.030312674039303,-0.12908777969019,-0.145562130177515,-0.072687224669604,0.285714285714286,0.066666666666667,-3.96590820357235E-17,-0.125,1,-1.5,2.08,2.86,0,1,0,1,1,0,0,0,0,2,1,0,1,0,7,4,37,0,0,0,0,0
61,0,0,0,0.101466992665037,0.069230769230769,0.041225416036309,-0.073365231259968,0.371428571428571,0.012422360248447,-0.500000000000001,0.042857142857143,-0.016483516483517,-1.1331166295921E-16,-2.71947991102104E-16,-1.5,1.94,1.37,0,-1,1,1,1,1,0,0,0,NA,1,0,0,0,7,47,0,0,0,0,0,0
62,0,0,1,0.038004750593824,0.024372759856631,0.014857245144545,0.016597510373444,0.03963963963964,0.01303602058319,0.05,0.022222222222222,-2.71947991102104E-16,-2.71947991102104E-16,1.5,-1.5,1.79,2.17,0,1,0,1,1,1,0,0,0,3,1,0,1,0,7,6,22,0,0,0,0,0
63,0,1,1,-0.333333333333333,-0.333333333333333,-0.166666666666667,-0.135076252723311,0.022988505747126,-0.043046357615894,0.032258064516129,0.020408163265306,-0.2,-0.125,0.5,-0.749999999999999,3.38,3,1,1,0,1,1,0,0,0,0,2,0,0,0,0,7,2,44,0,0,0,0,1
64,0,0,1,0.250000000000001,-2.71947991102104E-16,NA,0.044149318018665,0.04746835443038,0.022920203735144,-0.25,-0.066666666666667,0.214285714285714,0.75,NA,0.428571428571428,4.14,4,1,1,0,1,1,0,0,1,1,4,0,0,0,1,5,9,30,0,0,1,NA,0
65,0,0,1,-0.077578051087985,0.14041095890411,-0.166666666666667,0.055122204888196,-0.141891891891892,-0.066607460035524,0.999999999999992,-0.250000000000002,-0.214285714285714,-0.25,1.5,1.5,3.58,2.92,0,-1,1,1,1,1,0,0,0,3,1,1,0,0,6,2,52,0,0,1,0,0
66,0,0,1,-0.161643835616439,-0.175879396984925,-0.088362068965518,0.112328767123288,0.066371681415929,0.04177897574124,0.043478260869565,0.017241379310345,-1,-1.5,-1.5,1.5,2.25,2,1,1,1,1,1,0,0,1,0,3,0,0,0,0,7,35,52,0,0,0,0,0
67,0,0,1,-0.024626209322779,-0.003850385038504,NA,-0.24234693877551,-0.164992826398852,-0.106870229007634,0.038461538461539,-0.2,-0.142857142857143,0.111111111111111,-0.5,-9.51817968857363E-16,2.42,2.15,1,-1,1,1,1,1,0,0,1,4,0,0,0,NA,7,16,44,0,0,0,0,0
68,0,0,0,-0.015171018756896,-0.012485017978426,-0.006940810512239,0.026315789473684,0.047543075941289,0.020653699619009,-0.25,0.046703296703297,-1.5,-0.5,0.75,-1.5,2.69,4.5,1,1,0,1,1,1,0,0,0,3,0,0,0,0,6,25,13,1,NA,0,0,0
69,0,0,0,NA,-0.019437551695616,-0.012118018967334,-0.054054054054054,-0.001039501039501,-0.007410636442894,0.037037037037037,0.055228276877761,0.2,-1.35973995551052E-16,-0.5,1.5,1.79,1.78,0,0,1,1,1,1,0,0,0,3,0,0,0,0,4,NA,9,0,0,0,0,0
70,0,0,1,0.116302691721686,0.071393523061825,0.044487189351389,0.10136391816491,0.091463414634146,0.053617239610056,0.055555555555556,-0.056962025316457,0.125,0.5,-5.43895982204207E-16,-0.749999999999999,2.32,3.33,1,1,0,1,1,0,0,0,0,2,1,0,1,0,7,2,52,0,0,1,0,0
71,0,0,1,-0.114035087719298,-0.128491620111732,-0.060419235511714,-0.061297220242338,-0.046608695652174,-0.027693856998993,0.140287769784173,0.049075391180654,-2.71947991102104E-16,-2.71947991102104E-16,-1,-1.5,2.69,3.67,1,1,0,1,1,0,1,1,1,5,0,0,0,0,NA,2,52,0,0,1,0,0
72,0,0,NA,0.121631205673759,0.039850804868473,0.032077087794433,0.142344497607656,0.14119804400978,0.079374078693729,0.048076923076923,0.053311793214863,0.5,0.111111111111111,1.5,1,2,1.96,0,0,1,1,1,0,0,0,NA,2,1,0,1,0,7,5,NA,0,0,0,0,0
73,0,0,0,0.094637223974763,0.052535125229078,0.034377908780639,0.000738050100577,0.070355441553683,0.044362002299091,0.111353711790393,0.026315789473684,-1.5,-1.5,-1.5,-1.5,1.87,1.87,0,1,0,1,0,0,0,1,0,2,0,0,0,0,7,19,46,0,0,0,0,0
74,0,0,1,0.025641025641026,-0.013157894736842,NA,-0.008781459351802,0.061657912765472,0.032633487338441,0.083333333333333,0.066666666666667,-1,-0.749999999999999,-0.5,-1.5,4.17,3.83,0,1,0,NA,0,0,0,0,0,1,0,0,0,1,7,14,52,0,0,0,0,0
75,0,0,1,0.051572117784063,0.030550621669627,0.019404237465912,0.218181818181818,0.185404339250493,0.102296791008308,0.08695652173913,0.041666666666667,0.394736842105263,0.75,1.5,0.75,3.13,2.23,1,-1,1,1,1,0,0,0,0,2,0,0,0,0,6,12,30,0,0,1,0,0
76,0,0,0,0.00864553314121,0.009803921568627,0.004948045522019,0.077125328659071,0.052884615384615,0.031768953068592,0.066666666666667,0.043478260869565,2.03960993326578E-16,2.03960993326578E-16,-5.43895982204207E-16,-0.642857142857143,NA,1.51,0,-1,1,1,1,0,0,0,0,2,1,0,1,0,7,NA,37,0,0,0,0,0
77,0,0,1,-0.026351351351352,-0.01458241272647,-0.009501315153793,0.0375,0.205811138014528,0.15552099533437,0.153543307086614,0.083333333333333,0.153061224489796,0.5,1.5,-1.5,2.69,3.42,0,-1,1,1,1,1,1,0,0,4,1,1,0,0,8,14,37,0,0,1,0,0
78,0,0,0,-0.00974025974026,-0.061186650185414,-0.026690391459075,0.025699862322166,0.030566534914361,0.015034965034965,0.103238866396761,0.052631578947368,1,1,1.5,1.5,1.85,2,0,-1,1,1,1,0,0,0,1,NA,0,0,0,0,7,12,15,0,0,0,0,0
79,0,1,0,0.015151515151515,0.019256778514845,0.012258145050556,0.110603290676417,0.066666666666667,0.042037084074168,-0.25,0.02910164487558,-2.71947991102104E-16,-1,-1.5,1,1.91,1.96,1,1,0,1,1,0,1,0,0,3,NA,0,0,0,7,8,46,0,0,0,0,1
80,0,0,0,0.043512658227848,0.031940377961139,0.018484834168005,-0.013596559948469,-0.033333333333333,-0.014634146341463,0.037037037037037,0.1,-1.5,-1.5,NA,-1.5,3,4.17,0,0,1,1,1,0,1,1,0,3,0,0,0,0,7,15,29,1,0,0,0,0
81,0,0,1,-0.031627906976744,-0.021786492374728,-0.015235457063712,0.040423223005969,0.109330576376325,0.023086919960248,-0.333333333333334,0.156716417910448,0.375,1.5,1.5,-0.5,1.91,1.51,1,-1,1,0,0,0,0,0,NA,0,1,0,0,0,NA,20,4,0,0,0,0,0
82,0,0,0,0.017200474495848,0.034226771899663,0.014347727330086,0.096555618294749,0.183673469387755,0.09460605462972,0.03125,0.022727272727273,0.25,0.5,-1.5,-1.5,2,2.62,0,0,1,1,0,0,1,0,0,2,1,0,1,0,7,21,37,0,0,0,0,0
83,0,0,1,0.003014642549526,0.010115606936416,0.004145474813628,0.032695374800638,NA,0.038797284190107,0.106635071090047,-0.333333333333333,-0.25,-1,-1,-1.5,NA,1.96,0,0,1,1,0,0,1,0,1,3,1,0,1,0,7,5,33,0,0,0,0,0
84,0,0,1,-0.096578366445916,-0.024777636594663,-0.035701181477948,0.077208918249381,NA,0.037229327592757,0.083333333333333,0.071428571428571,-0.016483516483517,-5.43895982204207E-16,1,-1.5,2.42,1.9,0,1,0,1,1,1,1,0,NA,4,1,1,0,0,7,8,33,0,0,0,0,0
85,0,0,0,0.153061224489795,0.038461538461538,NA,-0.092867756315008,0.153172866520788,0.020661157024793,-0.25,0.03448275862069,-0.016483516483517,-0.09375,-1,-1.5,3.25,4.12,0,-1,1,1,1,0,1,0,0,3,0,0,0,0,5,15,0,0,0,0,0,0
86,0,0,0,0.096786110084965,-0.010938111751217,0.036631548283731,0.088251516822945,0.103342128408091,0.054284037558685,0.04,0.028662420382166,0.428571428571428,0.5,-1.5,-1.5,3,4.1,0,-1,1,1,1,0,0,0,0,2,0,0,0,0,7,9,33,0,0,0,0,0
87,0,1,0,0.060883002207506,0.040362225097025,0.024368391535694,0.10081466395112,0.078896728672226,0.048614266242617,-0.166666666666667,0.026315789473684,-0.2,-0.333333333333333,-1,-1,1.77,1.96,1,1,0,1,0,0,0,0,0,1,1,0,0,0,7,42,44,0,0,0,0,1
